feature,f_score,p_value,mutual_information
incident_light_cut_off,3.084994969066046,0.08006935112813511,0.11937561432409849
atomic_radius_rahm_range,2.551329938016274,0.1112867416979866,0.11890070142406994
num_p_valence_mean,0.16637566657534386,0.6836530971347898,0.11695092144051733
first_ion_en_range,0.08885741652739888,0.7658474905851984,0.11250625181211227
Nb,0.4206947104378096,0.5171021060831529,0.11150700506330824
num_f_valence_mean,4.7105762439734065,0.03078620011746158,0.11066698445537004
c6_gb_range,4.438160363702797,0.03600000498360577,0.1094176286237869
en_allen_range,0.3893152754329934,0.5331483496936564,0.108453178315008
gs_bandgap_std,0.2071726140205715,0.6493319646566132,0.10735317385079024
gs_mag_moment_range,0.14365916550317584,0.7049464726402501,0.10558115314813121
density_range,5.218080927885954,0.02307323396774706,0.10555479851013905
num_p_unfilled_std,0.1486264169515965,0.700133136748429,0.10472633295890788
covalent_radius_pyykko_range,2.52085699315288,0.11343543344511309,0.09377833683983416
atomic_radius_rahm_std,8.268935318055863,0.004330725334421202,0.0932948852787776
heat_capacity_mass_std,0.13145197344627774,0.7171944888820068,0.09131107006258476
Ca,0.7195339757750255,0.39699400256551165,0.08856863914134805
dipole_polarizability_range,2.392576764242894,0.12299933524903331,0.0825194927223718
gs_bandgap_mean,0.0026105238805093313,0.9592862392283523,0.07949823503317832
Ba,2.691054071958396,0.10199346478051417,0.07227793708529351
hhi_p_range,0.15230456084546892,0.6966282075998922,0.07056227646143887
num_s_unfilled_range,3.2730786785924106,0.07145720091453073,0.06847035482695696
heat_capacity_mass_mean,1.6596935793414362e-05,0.9967522715612392,0.06841839400603256
period_range,0.0760557378335543,0.7829112106088718,0.06571653850629366
particle_size,1.7626632222969376,0.1853332093765484,0.05663629605680187
A_electron_affinity,0.38982593713380287,0.5328800939230798,0.05513554430046863
Sr,0.873652086153937,0.35072119521779355,0.052294946916326523
Ta,0.21226782369598055,0.6453398048268333,0.05173883099597876
La,2.4621220724093,0.11770782412782987,0.0491400320566433
num_unfilled_range,0.11029585475304332,0.7400466446220164,0.043867372440567376
Mn,0.5854430802312699,0.4448067632718745,0.042945355717451505
Co,0.03137109795927329,0.8595382264910725,0.042769477363031605
Ru,0.005972883870059852,0.9384503835434286,0.04044689919352895
A_num_d_valence,2.3677913658010517,0.12494880793265302,0.03692763607488447
Cr,0.08179843885487031,0.7750783465091384,0.0366667342442728
Ag,3.99319954977273,0.04661450349506323,0.035103605021397755
num_f_unfilled_mean,1.8510069175438002,0.17471919355965118,0.0349103000340496
H,0.8363654800892762,0.3611954647566872,0.03247170220017925
S,1.7713838950078455,0.18425275048785947,0.03245515221011619
num_p_unfilled_range,0.13653017297640316,0.7120238870808707,0.03184779401453075
Ti,0.4556320052051254,0.5002084258753074,0.03110414017114782
heat_capacity_mass_range,0.13577382079382594,0.7127870017240215,0.030468596987169416
num_p_valence_range,0.12118111343502064,0.7280086771965077,0.026113987446155118
Cd,0.8863454462152243,0.3472504629144161,0.021451042225259398
Au,2.69065398078414,0.10201882340090307,0.020850988420371586
Fe,0.362287639015601,0.5477071355062428,0.016558565038369943
Bi,0.6921347605870707,0.4061213951465069,0.016038490521652626
Na,0.9044833843287579,0.3423716085999492,0.013147885223874
Pr,2.1239775215256045,0.146087787260971,0.012656885185402533
C,1.611696994704625,0.20526774902178638,0.012041235321053056
N,0.02254452721096784,0.8807515909467322,0.011068072850287214
Sn,0.0228803686232925,0.8798733907112766,0.00995966488830513
Y,1.6426348040353194,0.20098459253876355,0.00834835402584333
num_d_unfilled_range,0.2016865016853203,0.6536972520182405,0.0057760668079658295
Li,0.6132832329828221,0.4341911496847731,0.004257615262257319
Ce,0.5228453018924362,0.4702112450257404,0.004113984841793483
Cl,1.0453383968964178,0.30743234311390233,0.0027812102524058524
Pb,0.09715160027012884,0.7554981703003596,0.0005905737698972402
Pt,1.4712758435985014,0.22612821895785043,0.0
Br,2.826312657367736,0.09380395731780297,0.0
K,0.03743696517433289,0.846713082640183,0.0
