compound,hydrogen_production_rate,hydrogen_production_rate_uom,bandgap_energy,bandgap_energy_uom,incident_light_cut_off,incident_light_cut_off_uom,particle_size,particle_size_uom,radiation_source_intensity,radiation_source_intensity_uom,specific_surface_area,specific_surface_area_uom,catalyst_amount,catalyst_amount_uom,co_catalyst,co_catalyst_type,reaction_type,reaction_solution,reaction_solution_concentration,carbon_source,sacrificial_agent,sacrificial_agent_source,preparation_method,calcination_temperature,calcination_temperature_uom,calcination_time,calcination_time_uom,doi_reference
TiZrHfNbTaO6N3,63800.0,𝜇mol.g-1.h-1,1.6,eV,400,nm,46000.0,nm,300.0,W,2.3,m2.g-1,0.05,g,Pt,Pt(NH3)4(NO3)2,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Oxidation and Nitring,1100.0,°C,24.0,h,https://doi.org/10.1039/D1TA03861C
HTi2NbO7,1163.0,𝜇mol.g-1.h-1,3.25,eV,760,nm,1.7,nm,300.0,W,17.9,m2.g-1,0.08,g,Pt,H2PtCl6·6H2O,photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,solid-state reaction,1000.0,°C,12.0,h,https://doi.org/10.1016/j.apsusc.2020.145501
HTi2NbO7,125.0,𝜇mol.g-1.h-1,3.34,eV,760,nm,3.9,nm,300.0,W,107.5,m2.g-1,0.08,g,Pt,H2PtCl6·6H2O,photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,solid-state reaction,1000.0,°C,12.0,h,https://doi.org/10.1016/j.apsusc.2020.145501
LaCoO3,27.0,𝜇mol.g-1.h-1,2.88,eV,400,nm,32.0,nm,125.0,W,4.2,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Microbial sol-gel,800.0,°C,4.0,h,https://doi.org/10.1016/j.fuel.2014.09.107
LaCo0.8Cu0.2O3,110.0,𝜇mol.g-1.h-1,2.69,eV,400,nm,27.0,nm,125.0,W,6.1,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Microbial sol-gel,800.0,°C,4.0,h,https://doi.org/10.1016/j.fuel.2014.09.107
LaCo0.7Cu0.3O3,310.0,𝜇mol.g-1.h-1,2.54,eV,400,nm,24.0,nm,125.0,W,6.8,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Microbial sol-gel,800.0,°C,4.0,h,https://doi.org/10.1016/j.fuel.2014.09.107
LaCo0.6Cu0.4O3,210.0,𝜇mol.g-1.h-1,2.72,eV,400,nm,29.0,nm,125.0,W,5.5,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Microbial sol-gel,800.0,°C,4.0,h,https://doi.org/10.1016/j.fuel.2014.09.107
LaCo0.7Cu0.3O3,1130.0,𝜇mol.g-1.h-1,2.38,eV,400,nm,18.0,nm,125.0,W,14.2,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Microbial sol-gel,800.0,°C,4.0,h,https://doi.org/10.1016/j.fuel.2014.09.107
BaCeO3,28.0,𝜇mol.g-1.h-1,3.16,eV,400,nm,16.0,nm,500.0,W,40.0,m2.g-1,0.9,g,false,-,photoreform,Water / glycerol,(9 : 1 v/v),C3H8O3,True,C3H8O3,Sol-gel,300.0,°C,3.0,h,https://doi.org/10.1007/s10971-019-05018-y
VBaCeO3,500.0,𝜇mol.g-1.h-1,2.91,eV,400,nm,15.0,nm,500.0,W,25.0,m2.g-1,0.9,g,V,NH4VO3,photoreform,Water / glycerol,(9 : 1 v/v),C3H8O3,True,C3H8O3,Sol-gel,300.0,°C,3.0,h,https://doi.org/10.1007/s10971-019-05018-y
AgBaCeO3,900.0,𝜇mol.g-1.h-1,2.81,eV,400,nm,14.0,nm,500.0,W,30.0,m2.g-1,0.9,g,Ag,AgNO3,photoreform,Water / glycerol,(9 : 1 v/v),C3H8O3,True,C3H8O3,Sol-gel,300.0,°C,3.0,h,https://doi.org/10.1007/s10971-019-05018-y
AuBaCeO3,1800.0,𝜇mol.g-1.h-1,2.3,eV,400,nm,12.0,nm,500.0,W,36.0,m2.g-1,0.9,g,Au,HAuCl4·3H2O,photoreform,Water / glycerol,(9 : 1 v/v),C3H8O3,True,C3H8O3,Sol-gel,300.0,°C,3.0,h,https://doi.org/10.1007/s10971-019-05018-y
PtBaCeO3,2400.0,𝜇mol.g-1.h-1,2.16,eV,400,nm,10.0,nm,500.0,W,38.0,m2.g-1,0.9,g,Pt,H2PtCl6·6H2O,photoreform,Water / glycerol,(9 : 1 v/v),C3H8O3,True,C3H8O3,Sol-gel,300.0,°C,3.0,h,https://doi.org/10.1007/s10971-019-05018-y
LaFeO3,9000.0,𝜇mol.g-1.h-1,2.04,eV,400,nm,100.0,nm,250.0,W,10.0,m2.g-1,0.5,g,false,-,photoreform,Water / methanol,(17 : 3 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,500.0,°C,,h,https://doi.org/10.1016/j.ijhydene.2023.01.271
LaCoO3,76.0,𝜇mol.g-1.h-1,1.7,eV,420,nm,25.0,nm,300.0,W,12.0,m2.g-1,0.05,g,false,-,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Sol-gel,700.0,°C,5.0,h,https://doi.org/10.1021/acs.energyfuels.1c00512
Bi0.5Na0.5TiO3,325.4,𝜇mol.g-1.h-1,2.9,eV,346,nm,300.0,nm,500.0,W,27.3,m2.g-1,0.15,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,160.0,°C,24.0,h,https://doi.org/10.1016/j.ijhydene.2011.10.105
NiTiO3,338.0,𝜇mol.g-1.h-1,2.19,eV,400,nm,500.0,nm,5.0,W,14.0,m2.g-1,0.01,g,false,-,photoreform,Water / TEOA,(85 : 15 v/v),C6H15NO3,True,C6H15NO3,Sol-gel,700.0,°C,4.0,h,https://doi.org/10.1016/j.renene.2022.02.009
NiTiO3Fe2P,5980.0,𝜇mol.g-1.h-1,2.19,eV,400,nm,500.0,nm,5.0,W,7.0,m2.g-1,0.01,g,Fe2P,Fe2P,photoreform,Water / TEOA,(85 : 15 v/v),C6H15NO3,True,C6H15NO3,Grinding + phosphating,300.0,°C,2.0,h,https://doi.org/10.1016/j.renene.2022.02.009
La2Ti2O7,40.0,𝜇mol.g-1.h-1,3.34,eV,400,nm,8.0,nm,,W,,m2.g-1,0.005,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,500.0,°C,2.0,h,dx.doi.org/10.1016/j.apcatb.2016.09.021
NLa2Ti2O7,200.0,𝜇mol.g-1.h-1,3.17,eV,400,nm,8.0,nm,,W,,m2.g-1,0.005,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,500.0,°C,2.0,h,dx.doi.org/10.1016/j.apcatb.2016.09.021
C3N4/N-La2Ti2O7,430.0,𝜇mol.g-1.h-1,2.65,eV,400,nm,8.0,nm,,W,,m2.g-1,0.005,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,500.0,°C,2.0,h,dx.doi.org/10.1016/j.apcatb.2016.09.021
MgTiO3,11.2,𝜇mol.g-1.h-1,3.35,eV,400,nm,15.0,nm,300.0,W,16.4,m2.g-1,0.9,g,false,-,photoreform,Water / DEA,(85 : 15 v/v),HN(CH2CH2OH)2,True,HN(CH2CH2OH)2,Sol-gel,650.0,°C,4.0,h,https://doi.org/10.1016/j.ijhydene.2010.08.138
CaTiO3,6.7,𝜇mol.g-1.h-1,3.55,eV,400,nm,35.0,nm,300.0,W,14.7,m2.g-1,0.9,g,false,-,photoreform,Water / DEA,(85 : 15 v/v),HN(CH2CH2OH)2,True,HN(CH2CH2OH)2,Sol-gel,650.0,°C,4.0,h,https://doi.org/10.1016/j.ijhydene.2010.08.138
SrTiO3,13.4,𝜇mol.g-1.h-1,3.22,eV,400,nm,30.4,nm,300.0,W,12.2,m2.g-1,0.9,g,false,-,photoreform,Water / DEA,(85 : 15 v/v),HN(CH2CH2OH)2,True,HN(CH2CH2OH)2,Sol-gel,650.0,°C,4.0,h,https://doi.org/10.1016/j.ijhydene.2010.08.138
PtSrTiO3,67.0,𝜇mol.g-1.h-1,3.12,eV,400,nm,28.3,nm,300.0,W,18.8,m2.g-1,0.9,g,Pt,H2PtCl6·6H2O,photoreform,Water / DEA,(85 : 15 v/v),HN(CH2CH2OH)2,True,HN(CH2CH2OH)2,Sol-gel,650.0,°C,4.0,h,https://doi.org/10.1016/j.ijhydene.2010.08.138
Y2Ti2O5S2,4384.6,𝜇mol.g-1.h-1,1.9,eV,420,nm,1875.0,nm,300.0,W,4.0,m2.g-1,0.05,g,false,-,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1000.0,°C,10.0,h,https://doi.org/10.1002/advs.202412326
RhY2Ti2O5S2,4384.6,𝜇mol.g-1.h-1,1.9,eV,420,nm,1875.0,nm,300.0,W,4.0,m2.g-1,0.05,g,Rh,RhCl3,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1000.0,°C,10.0,h,https://doi.org/10.1002/advs.202412326
NaTaO3,30000.0,𝜇mol.g-1.h-1,4.05,eV,400,nm,212.0,nm,150.0,W,1.9,m2.g-1,0.2,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,12.0,h,http://dx.doi.org/10.1016/j.ijhydene.2013.12.182
Y0.02Na0.08TaO3,96000.0,𝜇mol.g-1.h-1,4.08,eV,400,nm,165.0,nm,150.0,W,4.4,m2.g-1,0.2,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,12.0,h,http://dx.doi.org/10.1016/j.ijhydene.2013.12.182
La0.02Na0.08TaO3,42000.0,𝜇mol.g-1.h-1,4.07,eV,400,nm,181.0,nm,150.0,W,2.4,m2.g-1,0.2,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,12.0,h,http://dx.doi.org/10.1016/j.ijhydene.2013.12.182
Yb0.02Na0.08TaO3,66000.0,𝜇mol.g-1.h-1,4.09,eV,400,nm,199.0,nm,150.0,W,2.4,m2.g-1,0.2,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,12.0,h,http://dx.doi.org/10.1016/j.ijhydene.2013.12.182
Ce0.02Na0.08TaO3,6000.0,𝜇mol.g-1.h-1,4.04,eV,400,nm,92.0,nm,150.0,W,4.7,m2.g-1,0.2,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,12.0,h,http://dx.doi.org/10.1016/j.ijhydene.2013.12.182
BaBi5Ti3O14Cl,20.0,𝜇mol.g-1.h-1,2.52,eV,500,nm,2500.0,nm,300.0,W,1.8,m2.g-1,0.1,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(8 : 2 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,20.0,h,https://doi.org/10.1039/D0TA12550D
Ba2Bi5Ti4O17Cl,40.0,𝜇mol.g-1.h-1,2.6,eV,500,nm,1000.0,nm,300.0,W,3.6,m2.g-1,0.1,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(8 : 2 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,20.0,h,https://doi.org/10.1039/D0TA12550D
Ba3Bi5Ti5O20Cl,90.0,𝜇mol.g-1.h-1,2.61,eV,500,nm,1500.0,nm,300.0,W,1.9,m2.g-1,0.1,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(8 : 2 v/v),CH3OH,True,CH3OH,solid-state reaction,900.0,°C,20.0,h,https://doi.org/10.1039/D0TA12550D
CaTiO3,600.0,𝜇mol.g-1.h-1,3.44,eV,400,nm,300.0,nm,300.0,W,123.8,m2.g-1,0.02,g,false,-,photoreform,Water / methanol,(5 : 5 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,600.0,°C,4.0,h,https://doi.org/10.1002/adfm.202112831
CxNyOzCaTiO3,6500.0,𝜇mol.g-1.h-1,3.44,eV,400,nm,300.0,nm,300.0,W,123.8,m2.g-1,0.02,g,C,Carbon dots,photoreform,Water / methanol,(5 : 5 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,600.0,°C,4.0,h,https://doi.org/10.1002/adfm.202112831
AuCaTiO3,20500.0,𝜇mol.g-1.h-1,3.44,eV,400,nm,300.0,nm,300.0,W,123.8,m2.g-1,0.02,g,Au,Au nanoparticles,photoreform,Water / methanol,(5 : 5 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,600.0,°C,4.0,h,https://doi.org/10.1002/adfm.202112831
PtCaTiO3,10000.0,𝜇mol.g-1.h-1,3.44,eV,400,nm,300.0,nm,300.0,W,123.8,m2.g-1,0.02,g,Pt,Pt nanoparticles,photoreform,Water / methanol,(5 : 5 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,600.0,°C,4.0,h,https://doi.org/10.1002/adfm.202112831
LaNiO3,709.0,𝜇mol.g-1.h-1,2.54,eV,420,nm,200.0,nm,300.0,W,1.5,m2.g-1,0.02,g,false,-,photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,Sol-high calcination method,750.0,°C,5.0,h,https://doi.org/10.1007/s11581-019-03210-2
MoS2LaNiO3,2355.0,𝜇mol.g-1.h-1,2.08,eV,420,nm,160.0,nm,300.0,W,10.97,m2.g-1,0.02,g,MoS2,(NH4)6Mo7O24·4(H2O),photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,Sol-high calcination method,750.0,°C,5.0,h,https://doi.org/10.1007/s11581-019-03210-2
KNbO3,1242.0,𝜇mol.g-1.h-1,3.24,eV,300,nm,300.0,nm,250.0,W,3.9,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(3: 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,160.0,°C,12.0,h,https://doi.org/10.1016/j.ijhydene.2013.01.028
KNbO3,677.0,𝜇mol.g-1.h-1,3.25,eV,300,nm,2000.0,nm,250.0,W,4.8,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(3: 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,180.0,°C,48.0,h,https://doi.org/10.1016/j.ijhydene.2013.01.028
KNbO3,10.0,𝜇mol.g-1.h-1,3.16,eV,300,nm,10000.0,nm,250.0,W,0.5,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(3: 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,80.0,°C,12.0,h,https://doi.org/10.1016/j.ijhydene.2013.01.028
KCa2Ta3O10,0.0,𝜇mol.g-1.h-1,3.44,eV,400,nm,1000.0,nm,,W,33.6,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4: 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1200.0,°C,12.0,h,https://doi.org/10.1039/C8CY00930A
CNKCa2Ta3O10,216.0,𝜇mol.g-1.h-1,2.68,eV,400,nm,1000.0,nm,,W,20.69,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4: 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1200.0,°C,12.0,h,https://doi.org/10.1039/C8CY00930A
CaBi2Ta2O9,0.62,𝜇mol.g-1.h-1,3.09,eV,400,nm,1500.0,nm,300.0,W,,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / TEOA,(9 : 1 v/v),C6H15NO3,True,C6H15NO3,Molten salt method,900.0,°C,3.0,h,https://doi.org/10.1016/j.apsusc.2023.158596
LaNi0.9Cu0.1O3,574.0,𝜇mol.g-1.h-1,3.6,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Citric-acid assisted co-precipitation,,°C,,h,https://doi.org/10.1016/j.ijhydene.2010.08.140
LaNi0.9Cu0.1O3,574.0,𝜇mol.g-1.h-1,2.69,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Citric-acid assisted co-precipitation,300.0,°C,2.0,h,https://doi.org/10.1016/j.ijhydene.2010.08.140
LaNi0.6Cu0.4O3,1180.0,𝜇mol.g-1.h-1,2.51,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Citric-acid assisted co-precipitation,200.0,°C,2.0,h,https://doi.org/10.1016/j.ijhydene.2010.08.140
LaNi0.6Cu0.4O3,1180.0,𝜇mol.g-1.h-1,2.54,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Citric-acid assisted co-precipitation,250.0,°C,2.0,h,https://doi.org/10.1016/j.ijhydene.2010.08.140
LaNi0.5Cu0.5O3,1166.0,𝜇mol.g-1.h-1,2.47,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Citric-acid assisted co-precipitation,200.0,°C,2.0,h,https://doi.org/10.1016/j.ijhydene.2010.08.140
NiTiO3,586.0,𝜇mol.g-1.h-1,2.24,eV,400,nm,38.94,nm,13.6,W,,m2.g-1,0.25,g,false,-,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Sol-gel,600.0,°C,,h,https://doi.org/10.3390/en17153704 
Ni0.99Co0.01TiO3,510.0,𝜇mol.g-1.h-1,2.23,eV,400,nm,36.73,nm,13.6,W,,m2.g-1,0.25,g,Co,Co(NO3)2·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Sol-gel,600.0,°C,,h,https://doi.org/10.3390/en17153704 
Ni0.97Co0.03TiO3,572.0,𝜇mol.g-1.h-1,2.22,eV,400,nm,36.24,nm,13.6,W,,m2.g-1,0.25,g,Co,Co(NO3)2·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Sol-gel,600.0,°C,,h,https://doi.org/10.3390/en17153704 
Ni0.95Co0.05TiO3,710.0,𝜇mol.g-1.h-1,2.16,eV,400,nm,36.79,nm,13.6,W,,m2.g-1,0.25,g,Co,Co(NO3)2·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Sol-gel,600.0,°C,,h,https://doi.org/10.3390/en17153704 
Ni0.90Co0.10TiO3,940.0,𝜇mol.g-1.h-1,2.23,eV,400,nm,42.13,nm,13.6,W,,m2.g-1,0.25,g,Co,Co(NO3)2·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Sol-gel,600.0,°C,,h,https://doi.org/10.3390/en17153704 
LiTaO3,7100.0,𝜇mol.g-1.h-1,5.12,eV,400,nm,8.18,nm,450.0,W,,m2.g-1,0.01,g,false,-,photoreform,Water / Formic Acid,(38:12 v/v),HCOOH,True,HCOOH,Solvothermal synthesis,200.0,°C,15.0,h,https://doi.org/10.1002/aoc.6207
AgLiTaO3,2400.0,𝜇mol.g-1.h-1,4.92,eV,400,nm,7.92,nm,450.0,W,,m2.g-1,0.01,g,false,-,photoreform,Water / Formic Acid,(38:12 v/v),HCOOH,True,HCOOH,Solvothermal synthesis,200.0,°C,15.0,h,https://doi.org/10.1002/aoc.6207
NLiTaO3,1230.0,𝜇mol.g-1.h-1,4.82,eV,400,nm,6.2,nm,450.0,W,,m2.g-1,0.01,g,false,-,photoreform,Water / Formic Acid,(38:12 v/v),HCOOH,True,HCOOH,Solvothermal synthesis,200.0,°C,15.0,h,https://doi.org/10.1002/aoc.6207
CaTaO2N,26.0,𝜇mol.g-1.h-1,2.43,eV,420,nm,400.0,nm,300.0,W,,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4: 1 v/v),CH3OH,True,CH3OH,Thermal nitridation (ammonolysis),900.0,°C,15.0,h,https://doi.org/10.1016/j.cej.2021.134041
Ta3N5,48.0,𝜇mol.g-1.h-1,2.07,eV,420,nm,400.0,nm,300.0,W,,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4: 1 v/v),CH3OH,True,CH3OH,Thermal nitridation (ammonolysis),900.0,°C,15.0,h,https://doi.org/10.1016/j.cej.2021.134041
Ta3N5CaTaO2N,104.0,𝜇mol.g-1.h-1,2.07,eV,420,nm,400.0,nm,300.0,W,,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4: 1 v/v),CH3OH,True,CH3OH,Thermal nitridation (ammonolysis),900.0,°C,3.0,h,https://doi.org/10.1016/j.cej.2021.134041
Ta3N5BiCaTaO2N,292.0,𝜇mol.g-1.h-1,2.07,eV,420,nm,400.0,nm,300.0,W,13.43,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4: 1 v/v),CH3OH,True,CH3OH,Thermal nitridation (ammonolysis),1000.0,°C,3.0,h,https://doi.org/10.1016/j.cej.2021.134041
SrTiO3,838.4,𝜇mol.g-1.h-1,3.29,eV,400,nm,128.5,nm,300.0,W,23.93,m2.g-1,0.01,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Electrospinning,750.0,°C,3.0,h,https://doi.org/10.1016/j.nanoen.2024.109745
BaTiO3,179.6,𝜇mol.g-1.h-1,3.27,eV,400,nm,118.8,nm,300.0,W,,m2.g-1,0.01,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,800.0,°C,10.0,h,https://doi.org/10.1016/j.nanoen.2024.109745
SrTiO3BaTiO3,1950.2,𝜇mol.g-1.h-1,3.27,eV,400,nm,129.8,nm,300.0,W,12.0,m2.g-1,0.01,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Electrospinning,750.0,°C,3.0,h,https://doi.org/10.1016/j.nanoen.2024.109745
LaNi0.7Cu0.3O3,30000.0,𝜇mol.g-1.h-1,3.7,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Sol-gel,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2010.03.090
LaNi0.7Cu0.3O3,340000.0,𝜇mol.g-1.h-1,2.7,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Sol-gel + H2 reduction,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2010.03.090
LaNi0.7Cu0.3O3,583000.0,𝜇mol.g-1.h-1,2.8,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Sol-gel + H2 reduction,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2010.03.090
LaNi0.7Cu0.3O3,160000.0,𝜇mol.g-1.h-1,2.8,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Sol-gel + H2 reduction,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2010.03.090
La2NiO4,5.81,𝜇mol.g-1.h-1,2.2,eV,420,nm,100.0,nm,300.0,W,6.63,m2.g-1,0.01,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Citric-acid assisted co-precipitation,1000.0,°C,6.0,h,https://doi.org/10.1021/acsaem.1c01716
La2NiO3C3N4,312.8,𝜇mol.g-1.h-1,2.2,eV,420,nm,100.0,nm,300.0,W,72.24,m2.g-1,0.01,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Citric-acid assisted co-precipitation,400.0,°C,2.0,h,https://doi.org/10.1021/acsaem.1c01716
La2NiO3C3N4,175.0,𝜇mol.g-1.h-1,2.2,eV,420,nm,100.0,nm,300.0,W,97.04,m2.g-1,0.01,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Citric-acid assisted co-precipitation,400.0,°C,2.0,h,https://doi.org/10.1021/acsaem.1c01716
SrTiO3,0.0,𝜇mol.g-1.h-1,3.3,eV,400,nm,5000.0,nm,300.0,W,0.2,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1200.0,°C,24.0,h,https://doi.org/10.1016/j.jmst.2021.01.039
(SrTiO3)0.95(CaCr0.5Nb0.5O3)0.05,0.0,𝜇mol.g-1.h-1,2.2,eV,400,nm,1000.0,nm,300.0,W,0.6,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1200.0,°C,24.0,h,https://doi.org/10.1016/j.jmst.2021.01.039
(SrTiO3)0.9(CaCr0.5Nb0.5O3)0.1,115.0,𝜇mol.g-1.h-1,2.3,eV,400,nm,500.0,nm,300.0,W,2.5,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1200.0,°C,24.0,h,https://doi.org/10.1016/j.jmst.2021.01.039
(SrTiO3)0.85(CaCr0.5Nb0.5O3)0.15,245.0,𝜇mol.g-1.h-1,2.3,eV,400,nm,500.0,nm,300.0,W,2.3,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1200.0,°C,24.0,h,https://doi.org/10.1016/j.jmst.2021.01.039
LaCoO3,45.0,𝜇mol.g-1.h-1,1.7,eV,420,nm,300.0,nm,35.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / methanol,(19 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,850.0,°C,3.0,h,https://doi.org/10.1016/j.enconman.2022.115787
LaCoO3C3N4,80.0,𝜇mol.g-1.h-1,1.7,eV,420,nm,300.0,nm,35.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / methanol,(19 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,850.0,°C,3.0,h,https://doi.org/10.1016/j.enconman.2022.115787
AgLaCoO3C3N4,3160.0,𝜇mol.g-1.h-1,1.7,eV,420,nm,300.0,nm,35.0,W,,m2.g-1,0.1,g,Ag,Ag nanoparticles,photoreform,Water / methanol,(19 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,850.0,°C,3.0,h,https://doi.org/10.1016/j.enconman.2022.115787
