compound,hydrogen_production_rate,hydrogen_production_rate_uom,bandgap_energy,bandgap_energy_uom,incident_light_cut_off,incident_light_cut_off_uom,particle_size,particle_size_uom,radiation_source_intensity,radiation_source_intensity_uom,specific_surface_area,specific_surface_area_uom,catalyst_amount,catalyst_amount_uom,co_catalyst,co_catalyst_type,reaction_type,reaction_solution,reaction_solution_concentration,carbon_source,sacrificial_agent,sacrificial_agent_source,preparation_method,calcination_temperature,calcination_temperature_uom,calcination_time,calcination_time_uom,doi_reference,Sr,Ti,O,La,Ni,Cu,K,Na,Ta,N,Ba,Fe,Nb,Bi,Br,Cd,S,H,Pb,Sn,Ag,Ca,Cr,Mn,Au,Pd,Pt,B,Mo,C,Pr,Y,Eu,Mg,Tb,In,Ru,Co,Li,Nd,Sm,Gd,Cs,W,Zr,Hf,Ce,V,P,Rh,Yb,Cl,Zn
HPb2Nb3O10,12.0,𝜇mol.g-1.h-1,2.58,eV,415,nm,2000.0,nm,300.0,W,3.82,m2.g-1,0.5,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(3.4 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1000.0,°C,48.0,h,https://doi.org/10.1002/cctc.201402924,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BaSnO3,375.0,𝜇mol.g-1.h-1,2.9,eV,420,nm,100.0,nm,500.0,W,155.0,m2.g-1,0.3,g,Pt,H2PtCl6·6H2O,photoreform,Water / glycerol,(9: 1 v/v),C3H8O3,True,C3H8O3,hydrothermal synthesis,190.0,°C,12.0,h,https://doi.org/10.1016/j.optmat.2023.114517,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag2OBaSnO3,3225.0,𝜇mol.g-1.h-1,1.98,eV,420,nm,100.0,nm,500.0,W,145.0,m2.g-1,0.3,g,Pt,H2PtCl6·6H2O,photoreform,Water / glycerol,(9 : 1 v/v),C3H8O3,True,C3H8O3,hydrothermal synthesis,190.0,°C,12.0,h,https://doi.org/10.1016/j.optmat.2023.114517,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag2OBaSnO3,1100.0,𝜇mol.g-1.h-1,2.1,eV,420,nm,100.0,nm,500.0,W,152.0,m2.g-1,0.3,g,Pt,H2PtCl6·6H2O,photoreform,Water / glycerol,(9 : 1 v/v),C3H8O3,True,C3H8O3,hydrothermal synthesis,190.0,°C,12.0,h,https://doi.org/10.1016/j.optmat.2023.114517,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag2OBaSnO3,1650.0,𝜇mol.g-1.h-1,2.0,eV,420,nm,100.0,nm,500.0,W,148.0,m2.g-1,0.3,g,Pt,H2PtCl6·6H2O,photoreform,Water / glycerol,(9 : 1 v/v),C3H8O3,True,C3H8O3,hydrothermal synthesis,190.0,°C,12.0,h,https://doi.org/10.1016/j.optmat.2023.114517,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag2OBaSnO3,2155.0,𝜇mol.g-1.h-1,1.97,eV,420,nm,100.0,nm,500.0,W,142.0,m2.g-1,0.3,g,Pt,H2PtCl6·6H2O,photoreform,Water / glycerol,(9 : 1 v/v),C3H8O3,True,C3H8O3,hydrothermal synthesis,190.0,°C,12.0,h,https://doi.org/10.1016/j.optmat.2023.114517,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaTiO3,0.0,𝜇mol.g-1.h-1,3.5,eV,415,nm,19.1,nm,300.0,W,31.7,m2.g-1,0.1,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Spray Pyrolysis,800.0,°C,,h,https://doi.org/10.1007/s11664-017-5551-4,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaCu0.005Ti0.995O3,40.0,𝜇mol.g-1.h-1,3.5,eV,415,nm,19.1,nm,300.0,W,31.7,m2.g-1,0.1,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Spray Pyrolysis,800.0,°C,,h,https://doi.org/10.1007/s11664-017-5551-4,0.0,0.995,3.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaCu0.01Ti0.99O3,140.7,𝜇mol.g-1.h-1,3.5,eV,415,nm,19.1,nm,300.0,W,31.7,m2.g-1,0.1,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Spray Pyrolysis,800.0,°C,,h,https://doi.org/10.1007/s11664-017-5551-4,0.0,0.99,3.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaCu0.015Ti0.985O3,95.0,𝜇mol.g-1.h-1,3.5,eV,415,nm,19.1,nm,300.0,W,31.7,m2.g-1,0.1,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Spray Pyrolysis,800.0,°C,,h,https://doi.org/10.1007/s11664-017-5551-4,0.0,0.985,3.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaCu0.02Ti0.98O3,70.0,𝜇mol.g-1.h-1,3.5,eV,415,nm,19.1,nm,300.0,W,31.7,m2.g-1,0.1,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Spray Pyrolysis,800.0,°C,,h,https://doi.org/10.1007/s11664-017-5551-4,0.0,0.98,3.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaCu0.02Ti0.98O3,295.0,𝜇mol.g-1.h-1,3.5,eV,415,nm,19.1,nm,300.0,W,44.0,m2.g-1,0.1,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Spray Pyrolysis,800.0,°C,,h,https://doi.org/10.1007/s11664-017-5551-4,0.0,0.98,3.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sr0.9La0.1Ti0.9Cr0.1O3,28800.0,𝜇mol.g-1.h-1,2.31,eV,400,nm,1000.0,nm,300.0,W,7.03,m2.g-1,0.1,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,200.0,°C,48.0,h,https://doi.org/10.1016/j.ijhydene.2017.01.064,0.9,0.9,3.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
